Date,Open,High,Low,Close,Volume,MA,MACD,MACD_Signal,MACD_Hist,RSI,WILLR,K,D,J,Signal,Profit,Buy Date
2023-01-03,36.54999923706055,36.56999969482422,36.36000061035156,36.4900016784668,248004,,,,,,,,,,0,,
2023-01-04,36.41999816894531,36.43999862670898,36.34999847412109,36.34999847412109,101134,,,,,,,,,,0,,
2023-01-05,36.59000015258789,36.61000061035156,36.470001220703125,36.59000015258789,265174,,,,,,,,,,0,,
2023-01-06,36.36000061035156,36.40999984741211,36.290000915527344,36.33000183105469,566775,,,,,,,,,,0,,
2023-01-09,36.900001525878906,37.09000015258789,36.84999847412109,37.09000015258789,815425,,,,,,,,,,0,,
2023-01-10,36.63999938964844,36.75,36.54999923706055,36.75,606565,,,,,,,,,,0,,
2023-01-11,36.869998931884766,36.880001068115234,36.720001220703125,36.720001220703125,258632,,,,,,,,,,0,,
2023-01-12,37.34000015258789,37.34000015258789,37.25,37.25,383831,,,,,,,,,,0,,
2023-01-13,37.29999923706055,37.400001525878906,37.25,37.400001525878906,511997,,,,,,,,,,0,,
2023-01-16,37.40999984741211,37.52999877929688,37.38999938964844,37.5,1083925,,,,,,,,,,0,,
2023-01-17,37.34999847412109,37.41999816894531,37.33000183105469,37.400001525878906,713186,,,,,67.16982327140074,,,,,0,,
2023-01-30,37.81999969482422,37.95000076293945,37.77000045776367,37.880001068115234,763022,,,,,72.67016660455286,,,,,0,,
2023-01-31,37.310001373291016,37.720001220703125,37.27999877929688,37.720001220703125,478466,,,,,68.42432916187418,,89.62365405699556,93.20536183465647,,0,,
2023-02-01,37.66999816894531,37.75,37.66999816894531,37.72999954223633,390143,,,,,68.55190445595049,,87.88009130700401,90.59905094730601,,0,,
2023-02-02,37.869998931884766,38.130001068115234,37.84000015258789,38.11000061035156,1258013,,,,,73.13551509519948,,88.81288368636581,88.77220968345513,84.59888074008695,0,,
2023-02-03,38.11000061035156,38.20000076293945,38.08000183105469,38.13999938964844,813416,,,,,73.4746332357246,,92.18374764208316,89.62557421181766,89.5454994070671,0,,
2023-02-06,38.09000015258789,38.20000076293945,38.06999969482422,38.11000061035156,539222,,,,,72.45834152279656,,94.26396868072823,91.75353333639241,95.15972185473372,0,,
2023-02-07,38.13999938964844,38.209999084472656,38.09999847412109,38.09999847412109,955196,,,,,72.08894204050728,,90.79411988012625,92.41394540097922,94.71313423681143,0,,
2023-02-08,38.56999969482422,38.619998931884766,38.459999084472656,38.47999954223633,591434,,,,,77.03185868861885,,89.41685804767268,91.49164886950905,90.70219487060668,0,,
2023-02-09,38.36000061035156,38.38999938964844,38.33000183105469,38.369998931884766,240843,37.425500297546385,,,,72.88053761408419,-10.729622868556554,86.3558508379063,88.85560958856841,84.72602619300075,0,,
2023-02-10,37.9900016784668,38.0,37.93999862670898,37.9900016784668,472526,37.50050029754639,,,,60.38898240030872,-27.038531749605024,74.62695206672099,83.46655365076667,74.52378621307052,0,,
2023-02-13,38.150001525878906,38.220001220703125,38.06999969482422,38.08000183105469,299016,37.58700046539307,,,,62.098530300527955,-23.17586096808258,59.16227207259191,73.38169165907307,56.342505044947075,0,,
2023-02-14,38.560001373291016,38.61000061035156,38.54999923706055,38.59999847412109,439045,37.687500381469725,,,,70.32140090877999,-0.8583894760110778,64.52645508217816,66.1052264071637,49.68003141015541,0,,
2023-02-15,38.59999847412109,38.61000061035156,38.540000915527344,38.560001373291016,402594,37.799000358581544,,,,69.04124899903802,-2.8984332096167242,77.25697129183952,66.9818994822032,63.29982008098292,0,,
2023-02-16,38.869998931884766,38.95000076293945,38.77999877929688,38.84999847412109,568910,37.887000274658206,,,,73.00081258734947,-4.166759384944331,92.90382418024744,78.22908351808837,93.80977761596158,0,,
2023-02-17,38.290000915527344,38.34999847412109,38.27000045776367,38.34999847412109,534280,37.96700019836426,,,,58.63435004632102,-26.905937757128928,73.956532081399,81.37244251782865,93.06171054140577,0,,
2023-02-20,38.380001068115234,38.380001068115234,38.34000015258789,38.34999847412109,253395,38.048500061035156,,,,58.63435004632102,-35.29423644380659,57.09557370155744,74.65197665440128,67.78692816965831,0,,
2023-02-21,38.20000076293945,38.380001068115234,38.15999984741211,38.380001068115234,585690,38.10500011444092,,,,59.22875160794805,-33.5293787656094,41.58414096472602,57.545415582560814,30.25635691115527,0,,
2023-02-22,37.84000015258789,37.959999084472656,37.77000045776367,37.959999084472656,1081635,38.13299999237061,,,,48.40902164452003,-59.28146721762733,33.420012941939824,44.03324253607442,14.612637759532243,0,,
2023-02-23,37.720001220703125,37.869998931884766,37.68999862670898,37.86000061035156,825801,38.151000022888184,,,,46.177437856717674,-65.26939268721146,24.386092812035344,33.13008223956705,9.584419813232964,0,,
2023-02-24,37.79999923706055,37.86000061035156,37.720001220703125,37.77999877929688,1281592,38.16999988555908,,,,44.35966668808318,-70.05991580265005,12.245543187443436,23.35054964713952,3.0423993262312456,0,,
2023-03-01,37.720001220703125,37.79999923706055,37.5,37.79999923706055,689143,38.165999794006346,,,,44.96149622249025,-68.86228502379073,13.774882287224907,16.802172762234548,1.5513151874095783,0,,
2023-03-02,37.43000030517578,37.52999877929688,37.2599983215332,37.52999877929688,849577,38.15649967193603,,,,38.685109941942244,-84.02366463216399,14.602928060150708,13.54111784493967,4.827460031943197,0,,
2023-03-03,37.77000045776367,37.77999877929688,37.59000015258789,37.72999954223633,447720,38.15649967193603,0.2040221260820516,0.43417400306067105,-0.23015187697861944,45.00378931588237,-72.18931705731518,26.2100729446571,18.195961097344224,22.228382155687058,0,,
2023-03-06,38.34000015258789,38.34999847412109,38.11000061035156,38.119998931884766,785608,38.156999588012695,0.2015841294685643,0.3876560283422497,-0.18607189887368542,55.04201524541293,-49.11246343313229,44.90873588130347,28.573912295370416,45.514409394341705,0,,
2023-03-07,38.34999847412109,38.38999938964844,38.33000183105469,38.34000015258789,352258,38.166999626159665,0.21492671805290797,0.35311016628438135,-0.13818344823147338,59.657388802903085,-36.09465852865759,71.44172173805498,47.52017685467184,79.70049706575787,0,,
2023-03-08,37.9900016784668,38.0,37.90999984741211,37.93000030517578,991803,38.15799961090088,0.19022446523507597,0.3205330260745203,-0.1303085608394443,49.19884888103225,-60.35496948246596,77.21767610486837,64.52271124140894,99.82360012992599,0,,
2023-03-09,38.06999969482422,38.09999847412109,38.0,38.09999847412109,169059,38.15799961090088,0.18226415567560394,0.292879251994737,-0.11061509631913308,52.99520560870431,-50.29592076275819,76.40122475297305,75.02020753196547,100.35189217719888,0,,
2023-03-10,37.29999923706055,37.5,37.22999954223633,37.36000061035156,1600920,38.10199966430664,0.11491919289183272,0.25728724017415616,-0.14236804728232344,38.92582448488355,-92.44180372952928,48.27845714187805,67.29911933323983,64.00266592864328,0,,
2023-03-13,37.27000045776367,37.33000183105469,37.220001220703125,37.290000915527344,1188209,38.04799976348877,0.05526240374031488,0.2168822728873879,-0.16161986914707302,37.86913598597481,-95.95377379500738,30.508701930522694,51.7294612751246,25.82252506515383,0,,
2023-03-14,36.709999084472656,37.15999984741211,36.709999084472656,37.15999984741211,1156678,38.006499671936034,-0.0024774724387555125,0.17301032382215922,-0.17548779626091474,35.860357537909834,-79.91069527914537,14.658544733547126,31.148567935315956,-6.672395223172413,1,,
2023-03-15,37.119998931884766,37.16999816894531,36.83000183105469,36.83000183105469,1713026,37.943999671936034,-0.07401166194729569,0.12360592666826824,-0.19761758861556394,31.193424229833777,-94.64273854186713,13.30388780939104,19.490378157820288,-9.774470438713061,0,,
2023-03-16,37.09999847412109,37.119998931884766,36.65999984741211,36.65999984741211,726575,37.84699974060059,-0.14277494117536094,0.0703297530995424,-0.21310469427490333,29.030822852316412,-100.0,11.30959138847386,13.09067464380401,-3.2143898932148374,0,,
2023-03-17,37.47999954223633,37.4900016784668,37.41999816894531,37.41999816894531,765377,37.7899995803833,-0.13439559365424714,0.029384683748784488,-0.16378027740303164,47.21021791871038,-66.81231363795372,17.0245232578177,13.879334151894204,10.664411153336905,0,,
2023-03-20,37.150001525878906,37.34999847412109,37.11000061035156,37.34000015258789,1090172,37.71449966430664,-0.13268061221573646,-0.003028375444119706,-0.12965223677161675,45.83696789572417,-60.69361357767983,30.384279630261506,19.572798092184357,27.689856351297994,0,,
2023-03-21,37.470001220703125,37.540000915527344,37.400001525878906,37.470001220703125,541833,37.67049980163574,-0.11945448044457407,-0.02631359644421058,-0.0931408840003635,48.53974798802663,-53.17909898149761,49.13432930084628,32.18104406297516,52.78768131755632,0,,
2023-03-22,37.84999847412109,39.0,37.7599983215332,37.77000045776367,1361607,37.64149990081787,-0.08379925880199579,-0.03781072891576762,-0.04598852988622817,54.37716514763705,-52.564079573927685,50.302785962498454,43.273798297868744,66.46963459158736,0,,
2023-03-23,37.2599983215332,37.2599983215332,37.15999984741211,37.18999862670898,992880,37.58199977874756,-0.10117723111714128,-0.050484029356042355,-0.05069320176109892,43.72288055878704,-77.35048099416903,42.111862814552545,47.18299269263242,59.790421375579704,0,,
