MA,RSI,MACD,WILLR,KDJ,Gross Profit,Gross Loss,Profit Factor,Count
10,5,"(48,104,9)",20,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
10,5,"(48,104,9)",10,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
10,20,"(48,104,9)",5,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
20,20,"(48,104,9)",20,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
20,20,"(48,104,9)",5,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
20,10,"(48,104,9)",10,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
20,10,"(48,104,9)",20,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
10,20,"(24,52,9)",10,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
10,20,"(24,52,9)",20,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
10,10,"(24,52,9)",10,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
10,10,"(24,52,9)",20,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
5,10,"(24,52,9)",10,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
5,10,"(24,52,9)",20,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
10,20,"(24,52,9)",5,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
10,10,"(24,52,9)",5,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
5,5,"(24,52,9)",5,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
5,5,"(24,52,9)",20,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
5,20,"(24,52,9)",5,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
5,20,"(24,52,9)",10,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
5,5,"(24,52,9)",10,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
20,10,"(24,52,9)",5,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
5,20,"(24,52,9)",20,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
5,10,"(24,52,9)",5,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
20,20,"(24,52,9)",20,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
20,20,"(24,52,9)",10,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
20,5,"(24,52,9)",20,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
20,20,"(24,52,9)",5,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
10,5,"(24,52,9)",5,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
10,5,"(24,52,9)",20,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
20,10,"(24,52,9)",20,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
20,10,"(24,52,9)",10,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
10,5,"(24,52,9)",10,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
20,5,"(24,52,9)",5,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
20,5,"(24,52,9)",10,"(18,3,3)",12.040241067881285,0.9483083544163868,12.696546446953066,17
5,5,"(24,52,9)",5,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
10,10,"(24,52,9)",5,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
10,10,"(24,52,9)",10,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
5,5,"(24,52,9)",10,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
5,5,"(24,52,9)",20,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
5,20,"(24,52,9)",20,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
5,10,"(24,52,9)",10,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
5,20,"(24,52,9)",10,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
5,20,"(24,52,9)",5,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
5,10,"(24,52,9)",20,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
5,10,"(24,52,9)",5,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
20,20,"(24,52,9)",20,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
20,20,"(24,52,9)",5,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
10,20,"(24,52,9)",10,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
10,10,"(24,52,9)",20,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
10,20,"(24,52,9)",20,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
10,20,"(24,52,9)",5,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
20,5,"(24,52,9)",10,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
20,20,"(24,52,9)",10,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
10,5,"(24,52,9)",20,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
20,10,"(24,52,9)",10,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
20,10,"(24,52,9)",20,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
20,10,"(24,52,9)",5,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
10,5,"(24,52,9)",5,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
10,5,"(24,52,9)",10,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
20,5,"(24,52,9)",5,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
20,5,"(24,52,9)",20,"(9,3,3)",11.747461391071855,1.220881612495198,9.622113455425687,21
10,10,"(12,26,9)",20,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
10,10,"(12,26,9)",10,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
10,10,"(12,26,9)",5,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
10,20,"(12,26,9)",5,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
10,20,"(12,26,9)",10,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
10,20,"(12,26,9)",20,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
5,5,"(12,26,9)",5,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
5,5,"(12,26,9)",10,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
5,5,"(12,26,9)",20,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
5,20,"(12,26,9)",5,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
5,20,"(12,26,9)",20,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
5,10,"(12,26,9)",20,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
20,10,"(12,26,9)",10,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
10,5,"(12,26,9)",5,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
10,5,"(12,26,9)",20,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
10,5,"(12,26,9)",10,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
20,10,"(12,26,9)",5,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
20,10,"(12,26,9)",20,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
20,20,"(12,26,9)",10,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
20,20,"(12,26,9)",20,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
20,20,"(12,26,9)",5,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
20,5,"(12,26,9)",10,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
5,20,"(12,26,9)",10,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
20,5,"(12,26,9)",5,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
20,5,"(12,26,9)",20,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
5,10,"(12,26,9)",5,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
5,10,"(12,26,9)",10,"(18,3,3)",11.198923189142764,3.1328487307283535,3.5746772831062086,19
10,10,"(12,26,9)",10,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
10,10,"(12,26,9)",20,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
10,10,"(12,26,9)",5,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
10,20,"(12,26,9)",20,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
10,20,"(12,26,9)",5,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
10,20,"(12,26,9)",10,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
10,5,"(12,26,9)",20,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
10,5,"(12,26,9)",10,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
20,10,"(12,26,9)",10,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
20,10,"(12,26,9)",20,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
20,10,"(12,26,9)",5,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
20,5,"(12,26,9)",10,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
20,20,"(12,26,9)",5,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
20,20,"(12,26,9)",10,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
20,20,"(12,26,9)",20,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
10,5,"(12,26,9)",5,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
20,5,"(12,26,9)",20,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
5,10,"(12,26,9)",5,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
20,5,"(12,26,9)",5,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
5,10,"(12,26,9)",20,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
5,10,"(12,26,9)",10,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
5,20,"(12,26,9)",5,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
5,20,"(12,26,9)",10,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
5,20,"(12,26,9)",20,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
