Date,Open,High,Low,Close,Volume
2023-01-03,436.2652282714844,436.74675722101136,426.63464928094385,429.523822978106,14885824
2023-01-04,432.89447021484375,438.19128798165497,431.9314124390599,432.89447021484375,19188422
2023-01-05,441.56201171875,442.52506954147356,438.1913093392176,442.0435406301118,23549581
2023-01-06,441.56201171875,442.52506954147356,438.1913093392176,438.1913093392176,20886011
2023-01-09,463.2308044433594,463.2308044433594,450.2295240691695,450.71105297191724,46666263
2023-01-10,468.046142578125,469.00920048466435,465.15696885850696,468.046142578125,32646014
2023-01-11,466.6015319824219,469.97223448384284,464.1938873385497,469.009176626294,21051115
2023-01-12,468.5276794433594,469.972266327563,466.1200346363534,469.4907373661618,20963689
2023-01-13,481.5289306640625,490.19645141601563,480.56587280273436,488.27033569335936,77606949
2023-01-16,486.34423828125,489.23341197400987,484.4181224860767,487.3072961788366,34373918
2023-01-17,484.4180908203125,485.3811486549453,481.0473883990976,485.3811486549453,27770329
2023-01-30,522.9404296875,522.9404296875,514.2729087534531,521.9773718059392,124428936
2023-01-31,502.7162170410156,518.1251432338437,501.7531591539639,517.162085346792,72530854
2023-02-01,510.4206237792969,513.3097971214438,502.71616153357166,512.3467393407282,33710990
2023-02-02,520.0513305664062,521.9774466055411,517.162156507704,518.1252145272714,43077053
2023-02-03,521.9774169921875,521.9774169921875,516.1990692026061,520.0513010623271,31635865
2023-02-06,506.5684509277344,513.3098561682176,506.5684509277344,512.3467982767199,30870136
2023-02-07,503.67926025390625,508.49454954887665,502.71620239491216,504.64231811290034,23481767
2023-02-08,520.0513305664062,520.0513305664062,514.2729824490017,518.1252145272714,35096191
2023-02-09,520.0513305664062,520.0513305664062,516.1990984881365,520.0513305664062,18861972
2023-02-10,524.8665161132812,525.8295739410121,521.0142848023581,523.9034582855504,28495684
2023-02-13,521.014404296875,523.9035784426987,518.1252301510513,523.9035784426987,22768977
2023-02-14,524.8665161132812,525.8295739410121,522.9404004578197,523.9034582855504,21883297
2023-02-15,505.6053161621094,512.3467203776041,502.7161429268973,506.56837390718005,61796793
2023-02-16,508.4945373535156,511.38371086120605,504.6423060099284,508.4945373535156,29975138
2023-02-17,498.86395263671875,504.6422995784568,496.9378369894727,504.6422995784568,28121975
2023-02-20,497.90087890625,499.8269944919608,492.1225321491175,495.0117055276837,20065156
2023-02-21,496.9378662109375,497.90092409119126,494.04869257017623,495.97480833068374,13504100
2023-02-22,488.27032470703125,490.1964403863489,486.34420902771353,487.3072668673724,24575245
2023-02-23,498.86395263671875,501.7531261075878,491.15949004773466,493.0856056949807,25376835
2023-02-24,492.12255859375,505.6053684182363,492.12255859375,504.64231057363014,41692491
2023-03-01,502.7162170410156,502.7162170410156,485.38117507408407,485.38117507408407,39560848
2023-03-02,499.8270263671875,500.79008422145955,495.97479495009935,499.8270263671875,16558784
2023-03-03,496.9378662109375,505.60538713322126,496.9378662109375,504.64232925296756,23253895
2023-03-06,501.753173828125,504.64234757377636,497.90094216725646,500.7901159129078,21922085
2023-03-07,504.6423645019531,506.5684803969987,499.82707476433905,501.75319065938464,24861078
2023-03-08,501.753173828125,503.67928965855924,498.8640000824736,501.753173828125,24512408
2023-03-09,502.7162170410156,506.56844858922267,502.7162170410156,505.6053907021709,21557577
2023-03-10,494.04864501953125,496.93781838221855,492.1225294444064,495.9747605946561,24045605
2023-03-13,496.9378662109375,498.863981971445,490.1964610491612,494.04869257017623,21466947
2023-03-14,491.15948486328125,495.01171611711095,491.15948486328125,492.1225426767387,20474770
2023-03-15,492.12255859375,496.93784781678085,491.15950074914383,495.9747899721747,23208597
2023-03-16,488.9754943847656,493.8168359133277,488.0072260790532,488.9754943847656,21965994
2023-03-17,501.5629577636719,501.5629577636719,496.72161647251676,499.6264212472098,33118483
2023-03-20,495.7533874511719,501.5629974603653,493.81685078144073,500.5947291254997,11837312
2023-03-21,500.5946960449219,500.5946960449219,495.75335469052226,498.65815950316204,18284799
2023-03-22,516.0870361328125,516.0870361328125,507.3726208885436,507.3726208885436,42385987
2023-03-23,520.9284057617188,521.8966741739152,511.24572163975375,511.24572163975375,26728246
2023-03-24,521.8966064453125,521.8966064453125,518.0235332991506,518.9918015856911,21926240
2023-03-27,514.1505126953125,518.9918546227636,514.1505126953125,516.0870494662929,16111177
2023-03-28,508.3408508300781,513.182192266555,507.37258254278277,508.3408508300781,17234120
2023-03-29,513.1821899414062,516.0869947901311,508.3408485268647,516.0869947901311,17280749
2023-03-30,518.0236206054688,519.9601575049285,514.1505468065494,518.9918890551986,19201564
2023-03-31,516.0870361328125,520.9283779351841,515.1187677723382,520.9283779351841,23558838
2023-04-06,513.1821899414062,514.1504582243145,509.309116809773,513.1821899414062,25423363
2023-04-07,514.1505126953125,518.0235862372734,512.213975924332,518.0235862372734,8557482
2023-04-10,512.2139282226562,516.087001403924,511.2456599273393,516.087001403924,7435151
2023-04-11,507.3726501464844,510.2774553954146,505.4361133138642,505.4361133138642,22675697
2023-04-12,503.4995422363281,507.372615638146,500.5947371849647,506.4043472876915,23816473
2023-04-13,493.8168029785156,500.59468066645604,493.8168029785156,498.6581441841874,25536889
2023-04-14,499.6264343261719,503.49950746048324,496.7216294754383,499.6264343261719,18072504
2023-04-17,503.4995422363281,503.4995422363281,497.68993213360125,502.53127388587365,14634287
2023-04-18,498.6581726074219,503.49951408904735,497.68990431109677,501.56297749639714,15168888
2023-04-19,493.8168029785156,501.5629489075904,492.84853473738127,500.59468066645604,21123233
2023-04-20,496.72161865234375,499.6264234397844,493.81681386490317,495.75335038986356,17221961
2023-04-21,494.7851257324219,503.4995408627385,493.8168573846089,503.4995408627385,25016683
2023-04-24,490.91204833984375,493.8168533596061,488.00724332008133,488.97551166000216,16886512
2023-04-25,482.1976318359375,488.9755101950772,482.1976318359375,488.0072418580572,36898412
2023-04-26,475.90386962890625,482.6817477314542,475.41973547872425,482.1976135812722,31269245
2023-04-27,477.8404235839844,479.2928260872792,473.4832160741,475.41975274515977,29537148
2023-04-28,486.0706481933594,486.0706481933594,482.1975752993884,482.68170941113476,24824100
