MA,RSI,MACD,WILLR,KDJ,Gross Profit,Gross Loss,Profit Factor,Count
10,10,"(24,52,9)",10,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
10,10,"(24,52,9)",20,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
10,10,"(24,52,9)",5,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
10,20,"(24,52,9)",5,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
10,20,"(24,52,9)",20,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
10,5,"(24,52,9)",10,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
10,5,"(24,52,9)",20,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
20,10,"(24,52,9)",5,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
5,10,"(24,52,9)",10,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
20,5,"(24,52,9)",20,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
20,5,"(24,52,9)",5,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
20,5,"(24,52,9)",10,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
20,20,"(24,52,9)",10,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
20,20,"(24,52,9)",20,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
20,20,"(24,52,9)",5,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
5,10,"(24,52,9)",20,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
5,20,"(24,52,9)",20,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
5,20,"(24,52,9)",10,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
5,10,"(24,52,9)",5,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
5,20,"(24,52,9)",5,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
5,5,"(24,52,9)",10,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
5,5,"(24,52,9)",20,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
5,5,"(24,52,9)",5,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
10,10,"(24,52,9)",10,"(18,3,3)",10.650001525878928,0.0,,6
10,10,"(24,52,9)",10,"(36,3,3)",3.9099998474121165,0.0,,2
10,10,"(24,52,9)",20,"(18,3,3)",10.650001525878928,0.0,,6
10,10,"(24,52,9)",20,"(36,3,3)",3.9099998474121165,0.0,,2
10,10,"(24,52,9)",5,"(18,3,3)",10.650001525878928,0.0,,6
10,10,"(24,52,9)",5,"(36,3,3)",3.9099998474121165,0.0,,2
10,10,"(12,26,9)",10,"(18,3,3)",13.200000762939474,0.0,,8
10,10,"(12,26,9)",10,"(36,3,3)",5.930000305175788,0.0,,3
10,10,"(12,26,9)",20,"(18,3,3)",13.200000762939474,0.0,,8
10,10,"(12,26,9)",20,"(36,3,3)",5.930000305175788,0.0,,3
10,10,"(12,26,9)",5,"(18,3,3)",13.200000762939474,0.0,,8
10,10,"(12,26,9)",5,"(36,3,3)",5.930000305175788,0.0,,3
10,10,"(48,104,9)",10,"(18,3,3)",12.810005187988295,0.0,,5
10,10,"(48,104,9)",10,"(36,3,3)",5.430004119873054,0.0,,2
10,10,"(48,104,9)",10,"(9,3,3)",12.760009765625014,0.0,,6
10,10,"(48,104,9)",20,"(18,3,3)",12.810005187988295,0.0,,5
10,10,"(48,104,9)",20,"(36,3,3)",5.430004119873054,0.0,,2
10,10,"(48,104,9)",20,"(9,3,3)",12.760009765625014,0.0,,6
10,10,"(48,104,9)",5,"(18,3,3)",12.810005187988295,0.0,,5
10,10,"(48,104,9)",5,"(36,3,3)",5.430004119873054,0.0,,2
10,10,"(48,104,9)",5,"(9,3,3)",12.760009765625014,0.0,,6
10,20,"(24,52,9)",10,"(18,3,3)",10.650001525878928,0.0,,6
10,20,"(24,52,9)",10,"(36,3,3)",3.9099998474121165,0.0,,2
10,20,"(24,52,9)",20,"(18,3,3)",10.650001525878928,0.0,,6
10,20,"(24,52,9)",20,"(36,3,3)",3.9099998474121165,0.0,,2
10,20,"(24,52,9)",5,"(18,3,3)",10.650001525878928,0.0,,6
10,20,"(24,52,9)",5,"(36,3,3)",3.9099998474121165,0.0,,2
10,20,"(12,26,9)",10,"(18,3,3)",13.200000762939474,0.0,,8
10,20,"(12,26,9)",10,"(36,3,3)",5.930000305175788,0.0,,3
10,20,"(12,26,9)",20,"(18,3,3)",13.200000762939474,0.0,,8
10,20,"(12,26,9)",20,"(36,3,3)",5.930000305175788,0.0,,3
10,20,"(12,26,9)",5,"(18,3,3)",13.200000762939474,0.0,,8
10,20,"(12,26,9)",5,"(36,3,3)",5.930000305175788,0.0,,3
10,20,"(48,104,9)",10,"(18,3,3)",12.810005187988295,0.0,,5
10,20,"(48,104,9)",10,"(36,3,3)",5.430004119873054,0.0,,2
10,20,"(48,104,9)",10,"(9,3,3)",12.760009765625014,0.0,,6
10,20,"(48,104,9)",20,"(18,3,3)",12.810005187988295,0.0,,5
10,20,"(48,104,9)",20,"(36,3,3)",5.430004119873054,0.0,,2
10,20,"(48,104,9)",20,"(9,3,3)",12.760009765625014,0.0,,6
10,20,"(48,104,9)",5,"(18,3,3)",12.810005187988295,0.0,,5
10,20,"(48,104,9)",5,"(36,3,3)",5.430004119873054,0.0,,2
10,20,"(48,104,9)",5,"(9,3,3)",12.760009765625014,0.0,,6
10,5,"(24,52,9)",10,"(18,3,3)",10.650001525878928,0.0,,6
10,5,"(24,52,9)",10,"(36,3,3)",3.9099998474121165,0.0,,2
10,5,"(24,52,9)",20,"(18,3,3)",10.650001525878928,0.0,,6
10,5,"(24,52,9)",20,"(36,3,3)",3.9099998474121165,0.0,,2
10,5,"(24,52,9)",5,"(18,3,3)",10.650001525878928,0.0,,6
10,5,"(24,52,9)",5,"(36,3,3)",3.9099998474121165,0.0,,2
10,5,"(12,26,9)",10,"(18,3,3)",13.200000762939474,0.0,,8
10,5,"(12,26,9)",10,"(36,3,3)",5.930000305175788,0.0,,3
10,5,"(12,26,9)",20,"(18,3,3)",13.200000762939474,0.0,,8
10,5,"(12,26,9)",20,"(36,3,3)",5.930000305175788,0.0,,3
10,5,"(12,26,9)",5,"(18,3,3)",13.200000762939474,0.0,,8
10,5,"(12,26,9)",5,"(36,3,3)",5.930000305175788,0.0,,3
10,5,"(48,104,9)",10,"(18,3,3)",12.810005187988295,0.0,,5
10,5,"(48,104,9)",10,"(36,3,3)",5.430004119873054,0.0,,2
10,5,"(48,104,9)",10,"(9,3,3)",12.760009765625014,0.0,,6
